date,dem,gop,safe_dem,likely_dem,leans_dem,safe_gop,likely_gop,leans_gop,toss_up,other,total_dem,total_gop,total_tu
2022-09-16,184,218,148,20,16,179,17,22,33,0,184,218,33
2022-09-23,185,218,148,20,17,179,17,22,32,0,185,218,32
2022-09-27,184,218,148,20,16,179,17,22,33,0,184,218,33
2022-10-04,182,218,148,20,14,179,17,22,35,0,182,218,35
2022-10-04,182,219,148,20,14,179,17,23,34,0,182,219,34
2022-10-06,182,219,148,20,14,179,17,23,34,0,182,219,34
2022-10-07,180,220,147,20,13,179,18,23,35,0,180,220,35
2022-10-18,176,221,146,19,11,178,19,24,38,0,176,221,38
2022-10-21,175,225,146,19,10,178,19,28,35,0,175,225,35
2022-10-25,175,225,146,19,10,178,19,28,35,0,175,225,35
2022-10-26,175,225,146,19,10,178,20,27,35,0,175,225,35
2022-10-27,173,225,146,19,8,178,20,27,37,0,173,225,37
2022-10-29,173,225,146,18,9,178,20,27,37,0,173,225,37
2022-10-31,174,228,146,16,12,178,20,30,33,0,174,228,33
2022-11-01,174,228,143,18,13,178,20,30,33,0,174,228,33
2022-11-02,174,228,141,20,13,178,20,30,33,0,174,228,33
2022-11-06,174,227,141,20,13,178,20,29,34,0,174,227,34
2022-11-09,174,227,141,20,13,178,20,29,34,0,174,227,34
2022-12-07,174,227,141,20,13,178,20,29,34,0,174,227,34
2023-10-16,174,227,141,20,13,178,20,29,34,0,174,227,34
2025-06-09,174,227,141,20,13,178,20,29,34,0,0,0,0
